OOR_ID,Link,Agency,County,Officer,Phone,Email1,Email2,website,address,type,subtype,county,municipality,school_district
1.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=1,Abbottstown Borough,Adams,"David W. Bolton, MBA, CBO",717-259-0965,abbottstown@comcast.net,,http://www.adamscounty.us/Munic/AbbottstownBorough/Pages/default.aspx,"241 High Street , Abbottstown, PA 17301",Local,Borough,Adams,Abbottstown Boro,CONEWAGO VALLEY S D
2.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=2,Adams County,Adams,Carolene E. Santiago,717-337-5911,openrecords@adamscounty.us,csantiago@adamscounty.us,,"111 Baltimore Street, Room 8 , Gettysburg, PA 17325",Local,County,Adams,Gettysburg Borough,Gettysburg Area School District
3.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=3,Arendtsville Borough,Adams,,717-677-6009,a-ville@superpa.net,,,"1 Chestnut Street , Arendtsville, PA 17303",Local,Borough,Adams,Arendtsville Boro,UPPER ADAMS S D
4.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=4,Bendersville Borough,Adams,Andrea S Rivera,717-677-8112,secretary@bendersvilleborough.net,,,"PO Box 448 , Bendersville, PA 17304",Local,Borough,Adams,Bendersville Boro,UPPER ADAMS S D
5.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=5,Berwick Township,Adams,PETE SOCKS JR.,717-632-1829,berwicktwp@embarqmail.com,,,"85 Municipal Road , Hanover, PA 17331",Local,Township,Adams,Berwick Twp,CONEWAGO VALLEY S D
6.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=6,Biglerville Borough,Adams,Sandra L. Vazquez,717-677-9488,biglerville@comcast.net,,http://www.adamscounty.us/biglerville,"33 Musselman Avenue , Biglerville, PA 17307",Local,Borough,Adams,Biglerville Boro,UPPER ADAMS S D
7.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=7,Bonneauville Borough,Adams,Doris A. Busbey,717-334-6330,office@bonneauvilleborough.com,,,"46 E. Hanover Street , Gettysburg, PA 17325",Local,Borough,Adams,Bonneauville Boro,CONEWAGO VALLEY S D
8.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=8,Butler Township,Adams,Danielle Helwig,717-677-6712,butlertwp@comcast.net,,,"2379 Table Rock Rd. , P.O. Box 339 , Biglerville, PA 17307",Local,Township,Adams,Butler Twp,Upper Adams School District
9.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=9,Carroll Valley Borough,Adams,David A Hazlett,717-642-8269,manager@carrollvalley.org,,http://www.carrollvalley.org,"5685 Fairfield Road , Fairfield, PA 17320",Local,Borough,Adams,Carroll Valley Boro,Fairfield Area School District
10.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=10,Conewago Township,Adams,Charlotte Marie Shaffer,717-637-0411,supervisorshaffer@conewagotwp.us,,http://www.conewagotwp.us,"541 Oxford Avenue , Hanover, PA 17331",Local,Township,Adams,Conewago Twp,CONEWAGO VALLEY S D
