,OOR_ID,Link,Agency,County,Officer,Phone,Email1,Email2,website,address,type,subtype,county,municipality,school_district,filepath
315,317.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=317,Snake Spring Township,Bedford,Rose Diehl,814-623-1976,snakespringtwp@embarqmail.com,,,"373 Pennknoll Road , Everett, PA 15537",Local,School District,Bedford,Snake Spring Twp,BEDFORD AREA S D,c:\Users\myles\OneDrive\Floppy Disc Photos 2019\Documents\RTK-Project\SchoolRTK\RTK_0317_Snake_Spring_Township.pdf
2900,3013.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=3013,Bermudian Springs School District,Adams,Shane Hotchkiss,717-528-4113,shotchkiss@bermudian.org,,http://www.bermudian.org,"7335 Carlisle Pike , York Springs, PA 17372",Local,School District,Adams,,,c:\Users\myles\OneDrive\Floppy Disc Photos 2019\Documents\RTK-Project\SchoolRTK\RTK_3013_Bermudian_Springs_School_District.pdf
2901,3014.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=3014,Conewago Valley School District,Adams,Joshua Lovejoy,717-624-2157,righttoknow@cvcolonials.org,,http://www.conewago.k12.pa.us,"130 Berlin Road , New Oxford, PA 17350",Local,School District,Adams,New Oxford Boro,Conewago Valley School District,c:\Users\myles\OneDrive\Floppy Disc Photos 2019\Documents\RTK-Project\SchoolRTK\RTK_3014_Conewago_Valley_School_District.pdf
2902,3015.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=3015,Fairfield Area School District,Adams,Tim A Stanton,717-642-2025,info@fairfield.k12.pa.us,,http://www.fairfieldpaschools.org,"4840 Fairfield Road , Fairfield, PA 17320",Local,School District,Adams,Hamiltonban Twp,Fairfield Area School District,c:\Users\myles\OneDrive\Floppy Disc Photos 2019\Documents\RTK-Project\SchoolRTK\RTK_3015_Fairfield_Area_School_District.pdf
2903,3016.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=3016,Gettysburg Area School District,Adams,Belinda Wallen,717-334-6254,bwallen@gasd-pa.org,,http://www.gettysburg.k12.pa.us,"900 Biglerville Road , Gettysburg, PA 17325",Local,School District,Adams,Gettysburg Boro,Gettysburg Area School District,c:\Users\myles\OneDrive\Floppy Disc Photos 2019\Documents\RTK-Project\SchoolRTK\RTK_3016_Gettysburg_Area_School_District.pdf
2904,3017.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=3017,Littlestown Area School District,Adams,Beverly Lang,717-359-4146,langb@lasd.k12.pa.us,,http://www.lasd.k12.pa.us,"162 Newark Street , Littlestown, PA 17340",Local,School District,Adams,Littlestown Borough,Littlestown Area School District,c:\Users\myles\OneDrive\Floppy Disc Photos 2019\Documents\RTK-Project\SchoolRTK\RTK_3017_Littlestown_Area_School_District.pdf
2905,3018.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=3018,Upper Adams School District,Adams,,717-677-7191,s.hobbs@upperadams.org,,http://www.uasd.k12.pa.us,"161 North Main Street, PO Box 847 , Biglerville, PA 17307",Local,School District,Adams,Biglerville Boro,Upper Adams School District,c:\Users\myles\OneDrive\Floppy Disc Photos 2019\Documents\RTK-Project\SchoolRTK\RTK_3018_Upper_Adams_School_District.pdf
2908,3021.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=3021,Allegheny Valley School District,Allegheny,,724-274-5300,pgraczyk@avsdweb.org,,http://www.avsdweb.org,"300 Pearl Avenue , Cheswick, PA 15024",Local,School District,Allegheny,Harmar Twp,Allegheny Valley School District,c:\Users\myles\OneDrive\Floppy Disc Photos 2019\Documents\RTK-Project\SchoolRTK\RTK_3021_Allegheny_Valley_School_District.pdf
2909,3022.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=3022,Avonworth School District,Allegheny,Bradley T. Waters,412-369-8738,bwaters@avonworth.k12.pa.us,,http://www.avonworth.k12.pa.us,"258 Josephs Lane , Pittsburgh, PA 15237",Local,School District,Allegheny,Pittsburgh,Avonworth School District,c:\Users\myles\OneDrive\Floppy Disc Photos 2019\Documents\RTK-Project\SchoolRTK\RTK_3022_Avonworth_School_District.pdf
2910,3023.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=3023,Baldwin-Whitehall School District,Allegheny,Mark Cherpak,412-885-7808,mcherpak@bwschools.net,,http://www.bwschools.net,"4900 Curry Road , Pittsburgh, PA 15236",Local,School District,Allegheny,,,c:\Users\myles\OneDrive\Floppy Disc Photos 2019\Documents\RTK-Project\SchoolRTK\RTK_3023_Baldwin-Whitehall_School_District.pdf
